CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12347.0,2,7,2430.57,5,5,5,555,Champions
12348.0,249,1,17.0,1,1,1,111,Churned
12349.0,19,1,997.35,4,1,4,414,Regular
12350.0,310,1,274.0,1,1,2,112,Churned
12352.0,36,7,1147.44,3,5,5,355,Regular
12353.0,204,1,29.300000000000004,1,1,1,111,Churned
12354.0,232,1,651.5500000000001,1,1,4,114,Churned
12355.0,214,1,149.4,1,1,2,112,Churned
12356.0,246,2,231.86,1,2,2,122,Churned
12357.0,33,1,967.51,4,1,4,414,Regular
12358.0,151,1,99.36,2,1,1,211,Churned
12359.0,58,4,3307.77,3,4,5,345,Regular
12360.0,52,3,1751.3,3,3,5,335,Regular
12361.0,287,1,174.9,1,1,2,112,Churned
12362.0,3,10,4046.32,5,5,5,555,Champions
12363.0,110,2,194.28,2,2,2,222,Churned
12364.0,8,3,682.38,5,3,4,534,Regular
12365.0,291,1,307.94,1,1,3,113,Churned
12367.0,4,1,117.3,5,1,1,511,Regular
12370.0,51,4,1705.25,3,4,5,345,Regular
12371.0,60,1,1181.06,3,1,5,315,Regular
12372.0,72,3,551.1,3,3,4,334,Regular
12373.0,311,1,221.10000000000002,1,1,2,112,Churned
12374.0,25,1,457.51,4,1,3,413,Regular
12375.0,11,2,231.9,5,2,2,522,Regular
12377.0,315,2,977.58,1,2,4,124,Churned
12378.0,130,1,3094.18,2,1,5,215,Churned
12379.0,82,2,647.04,2,2,4,224,Churned
12380.0,22,4,1437.55,4,4,5,445,Champions
12381.0,5,5,1137.1200000000001,5,4,5,545,Champions
12383.0,185,5,738.38,1,4,4,144,Regular
12384.0,29,2,351.72,4,2,3,423,Regular
12386.0,367,1,84.3,1,1,1,111,Churned
12388.0,16,6,1190.6200000000001,4,5,5,455,Champions
12390.0,80,1,313.3,2,1,3,213,Churned
12391.0,22,1,418.03000000000003,4,1,3,413,Regular
12393.0,72,4,1167.1000000000001,3,4,5,345,Regular
12394.0,217,1,331.18,1,1,3,113,Churned
12395.0,19,12,1745.45,4,5,5,455,Champions
12397.0,36,2,1610.03,3,2,5,325,Regular
12398.0,46,1,706.42,3,1,4,314,Regular
12399.0,119,4,514.92,2,4,3,243,Regular
12401.0,303,1,32.85,1,1,1,111,Churned
12402.0,323,1,195.6,1,1,2,112,Churned
12403.0,50,1,9.9,3,1,1,311,Regular
12405.0,149,1,629.37,2,1,4,214,Churned
12406.0,22,2,1186.14,4,2,5,425,Regular
12407.0,50,5,657.51,3,4,4,344,Regular
12408.0,33,5,1276.07,4,4,5,445,Champions
12409.0,79,1,4.95,2,1,1,211,Churned
12410.0,309,1,258.15,1,1,2,112,Churned
12412.0,75,3,646.26,2,3,4,234,Regular
12413.0,67,3,541.3000000000001,3,3,4,334,Regular
12414.0,217,2,145.64999999999998,1,2,2,122,Churned
12415.0,66,7,325.54,3,5,3,353,Regular
12417.0,3,9,2016.96,5,5,5,555,Champions
12418.0,113,1,306.83,2,1,3,213,Churned
12420.0,64,1,334.22,3,1,3,313,Regular
12421.0,16,4,509.41,4,4,3,443,Regular
12422.0,96,3,627.3100000000001,2,3,4,234,Regular
12423.0,1,8,1303.53,5,5,5,555,Champions
12424.0,163,2,233.92000000000002,2,2,2,222,Churned
12425.0,78,1,425.09999999999997,2,1,3,213,Churned
12426.0,195,1,491.28000000000003,1,1,3,113,Churned
12427.0,22,3,399.15999999999997,4,3,3,433,Regular
12428.0,26,7,3270.44,4,5,5,455,Champions
12429.0,9,4,913.44,5,4,4,544,Champions
12430.0,43,1,118.92,3,1,1,311,Regular
12431.0,60,13,3175.4300000000003,3,5,5,355,Regular
12432.0,43,3,871.98,3,3,4,334,Regular
12433.0,1,7,3267.9,5,5,5,555,Champions
12434.0,85,2,663.64,2,2,4,224,Churned
12436.0,100,1,141.16,2,1,2,212,Churned
12437.0,2,17,1861.98,5,5,5,555,Champions
12438.0,14,2,1100.98,5,2,4,524,Regular
12441.0,367,1,124.05000000000001,1,1,1,111,Churned
12442.0,3,1,75.48,5,1,1,511,Regular
12444.0,21,5,2135.61,4,4,5,445,Champions
12445.0,22,1,17.4,4,1,1,411,Regular
12446.0,58,1,783.86,3,1,4,314,Regular
12447.0,243,1,411.59,1,1,3,113,Churned
12448.0,44,1,242.60999999999999,3,1,2,312,Regular
12449.0,22,4,2596.62,4,4,5,445,Champions
12450.0,173,1,101.88,2,1,1,211,Churned
12451.0,11,5,3655.27,5,4,5,545,Champions
12452.0,17,1,257.67,4,1,2,412,Regular
12453.0,134,1,614.09,2,1,4,214,Churned
12455.0,73,5,760.0600000000001,2,4,4,244,Regular
12456.0,44,3,1361.68,3,3,5,335,Regular
12457.0,86,2,766.93,2,2,4,224,Churned
12458.0,71,2,505.58000000000004,3,2,3,323,Regular
12461.0,155,1,414.52,2,1,3,213,Churned
12462.0,19,2,689.9,4,2,4,424,Regular
12463.0,53,4,1109.78,3,4,4,344,Regular
12464.0,150,4,76.5,2,4,1,241,Regular
12465.0,17,2,581.89,4,2,4,424,Regular
12468.0,188,2,491.99,1,2,3,123,Churned
12471.0,2,26,4741.15,5,5,5,555,Champions
12472.0,32,7,4156.47,4,5,5,455,Champions
12473.0,54,3,1907.48,3,3,5,335,Regular
12474.0,17,17,5377.75,4,5,5,455,Champions
12475.0,54,1,452.14,3,1,3,313,Regular
12476.0,16,10,2802.9900000000002,4,5,5,455,Champions
12477.0,23,6,3542.08,4,5,5,455,Champions
12478.0,4,1,511.99,5,1,3,513,Regular
12479.0,11,1,366.59,5,1,3,513,Regular
12480.0,28,4,2124.04,4,4,5,445,Champions
12481.0,23,10,2238.08,4,5,5,455,Champions
12483.0,17,7,983.2,4,5,4,454,Champions
12484.0,35,4,3096.77,3,4,5,345,Regular
12488.0,10,3,744.08,5,3,4,534,Regular
12489.0,336,1,197.25,1,1,2,112,Churned
12490.0,5,10,3245.37,5,5,5,555,Champions
12491.0,39,1,335.15000000000003,3,1,3,313,Regular
12492.0,63,2,201.11,3,2,2,322,Regular
12493.0,166,2,332.91,2,2,3,223,Churned
12494.0,16,7,843.75,4,5,4,454,Champions
12498.0,21,3,349.70000000000005,4,3,3,433,Regular
12500.0,50,7,347.23,3,5,3,353,Regular
12501.0,337,1,1575.3,1,1,5,115,Churned
12502.0,96,5,1694.32,2,4,5,245,Regular
12506.0,233,1,73.5,1,1,1,111,Churned
12507.0,299,1,160.5,1,1,2,112,Churned
12508.0,26,2,398.27,4,2,3,423,Regular
12509.0,284,1,25.5,1,1,1,111,Churned
12510.0,143,2,449.05,2,2,3,223,Churned
12512.0,66,2,127.53,3,2,1,321,Regular
12513.0,113,1,404.84,2,1,3,213,Churned
12514.0,267,1,765.28,1,1,4,114,Churned
12515.0,353,1,164.4,1,1,2,112,Churned
12516.0,78,2,104.08,2,2,1,221,Churned
12517.0,28,4,2295.89,4,4,5,445,Champions
12518.0,1,5,1415.29,5,4,5,545,Champions
12519.0,64,1,224.04,3,1,2,312,Regular
12520.0,79,5,1861.34,2,4,5,245,Regular
12521.0,143,1,489.13,2,1,3,213,Churned
12522.0,39,2,133.76,3,2,1,321,Regular
12523.0,19,11,1155.13,4,5,5,455,Champions
12524.0,9,8,1311.1499999999999,5,5,5,555,Champions
12526.0,1,3,1091.92,5,3,4,534,Regular
12527.0,82,3,129.43,2,3,1,231,Regular
12528.0,9,6,887.03,5,5,4,554,Champions
12530.0,60,4,884.1600000000001,3,4,4,344,Regular
12531.0,15,1,95.27,5,1,1,511,Regular
12532.0,30,1,259.47,4,1,2,412,Regular
12534.0,131,1,759.13,2,1,4,214,Churned
12535.0,92,2,484.25,2,2,3,223,Churned
12536.0,59,1,3098.19,3,1,5,315,Regular
12538.0,29,1,303.99,4,1,3,413,Regular
12539.0,22,4,3845.86,4,4,5,445,Champions
12540.0,20,17,4924.14,4,5,5,455,Champions
12541.0,30,3,513.12,4,3,3,433,Regular
12544.0,36,1,316.7,3,1,3,313,Regular
12545.0,75,2,554.2,2,2,4,224,Churned
12546.0,47,2,986.08,3,2,4,324,Regular
12547.0,281,1,30.599999999999998,1,1,1,111,Churned
12548.0,166,1,67.19999999999999,2,1,1,211,Churned
12550.0,79,1,739.7,2,1,4,214,Churned
12551.0,358,1,168.0,1,1,2,112,Churned
12552.0,40,1,204.47,3,1,2,312,Regular
12553.0,8,10,2654.88,5,5,5,555,Champions
12556.0,50,2,547.48,3,2,4,324,Regular
12558.0,8,1,94.76,5,1,1,511,Regular
12559.0,320,1,183.0,1,1,2,112,Churned
12560.0,5,2,1461.12,5,2,5,525,Regular
12561.0,303,1,196.85,1,1,2,112,Churned
12562.0,8,7,2378.3,5,5,5,555,Champions
12564.0,261,1,352.05,1,1,3,113,Churned
12565.0,289,1,145.92,1,1,2,112,Churned
12566.0,86,1,130.15,2,1,1,211,Churned
12567.0,23,10,6524.11,4,5,5,455,Champions
12569.0,2,27,1860.29,5,5,5,555,Champions
12571.0,40,2,330.96999999999997,3,2,3,323,Regular
12572.0,9,2,687.17,5,2,4,524,Regular
12573.0,227,1,150.59,1,1,2,112,Churned
12574.0,316,1,162.55,1,1,2,112,Churned
12576.0,36,5,1153.07,3,4,5,345,Regular
12577.0,35,3,595.4,3,3,4,334,Regular
12578.0,21,2,1771.66,4,2,5,425,Regular
12579.0,78,1,318.92,2,1,3,213,Churned
12580.0,247,1,379.7,1,1,3,113,Churned
12581.0,40,1,159.26,3,1,2,312,Regular
12582.0,239,2,300.72,1,2,3,123,Churned
12583.0,3,15,2113.88,5,5,5,555,Champions
12584.0,4,8,1169.3,5,5,5,555,Champions
12585.0,234,2,936.05,1,2,4,124,Churned
12586.0,17,1,183.66000000000003,4,1,2,412,Regular
12587.0,8,1,20.8,5,1,1,511,Regular
12588.0,39,1,79.65,3,1,1,311,Regular
12589.0,29,2,327.28,4,2,3,423,Regular
12591.0,317,1,291.0,1,1,3,113,Churned
12592.0,92,2,350.6,2,2,3,223,Churned
12593.0,109,3,342.59999999999997,2,3,3,233,Regular
12594.0,47,7,1696.5,3,5,5,355,Regular
12596.0,51,2,209.19,3,2,2,322,Regular
12597.0,19,4,2342.43,4,4,5,445,Champions
12598.0,10,7,1582.53,5,5,5,555,Champions
12599.0,29,7,421.3,4,5,3,453,Regular
12600.0,29,9,547.52,4,5,4,454,Champions
12601.0,190,5,336.71,1,4,3,143,Regular
12602.0,59,1,129.22,3,1,1,311,Regular
12604.0,79,2,150.98,2,2,2,222,Churned
12607.0,60,1,1175.86,3,1,5,315,Regular
12609.0,78,3,821.8100000000001,2,3,4,234,Regular
12610.0,23,4,1178.14,4,4,5,445,Champions
12611.0,52,1,817.06,3,1,4,314,Regular
12612.0,74,1,124.80000000000001,2,1,1,211,Churned
12613.0,57,4,2313.72,3,4,5,345,Regular
12614.0,278,1,265.85,1,1,2,112,Churned
12615.0,2,4,1345.13,5,4,5,545,Champions
12616.0,95,2,386.79999999999995,2,2,3,223,Churned
12617.0,29,1,335.63,4,1,3,413,Regular
12618.0,22,1,116.31,4,1,1,411,Regular
12619.0,16,7,506.29999999999995,4,5,3,453,Regular
12620.0,15,3,1003.18,5,3,4,534,Regular
12621.0,2,18,5670.54,5,5,5,555,Champions
12622.0,232,1,123.85,1,1,1,111,Churned
12623.0,276,1,219.6,1,1,2,112,Churned
12624.0,106,2,499.98,2,2,3,223,Churned
12625.0,212,2,562.1800000000001,1,2,4,124,Churned
12626.0,23,9,3581.43,4,5,5,455,Champions
12627.0,11,6,3288.56,5,5,5,555,Champions
12628.0,4,3,564.96,5,3,4,534,Regular
12630.0,10,2,875.5,5,2,4,524,Regular
12631.0,57,1,386.1,3,1,3,313,Regular
12633.0,59,4,1290.46,3,4,5,345,Regular
12635.0,90,2,1336.39,2,2,5,225,Churned
12637.0,67,8,4385.12,3,5,5,355,Regular
12638.0,33,1,351.85,4,1,3,413,Regular
12639.0,239,1,311.2,1,1,3,113,Churned
12640.0,25,2,598.67,4,2,4,424,Regular
12641.0,115,1,115.7,2,1,1,211,Churned
12642.0,25,3,438.25,4,3,3,433,Regular
12643.0,221,1,2.0,1,1,1,111,Churned
12644.0,130,1,360.72,2,1,3,213,Churned
12645.0,34,4,901.74,3,4,4,344,Regular
12646.0,5,2,594.8,5,2,4,524,Regular
12647.0,22,11,1204.21,4,5,5,455,Champions
12648.0,155,1,255.3,2,1,2,212,Churned
12649.0,107,3,342.59,2,3,3,233,Regular
12650.0,3,1,132.52,5,1,1,511,Regular
12651.0,335,1,114.0,1,1,1,111,Churned
12652.0,331,1,655.6,1,1,4,114,Churned
12653.0,149,2,292.46,2,2,3,223,Churned
12654.0,11,5,499.33,5,4,3,543,Regular
12656.0,17,5,1707.15,4,4,5,445,Champions
12657.0,11,3,502.40000000000003,5,3,3,533,Regular
12658.0,19,1,468.5,4,1,3,413,Regular
12659.0,30,1,30.0,4,1,1,411,Regular
12660.0,11,1,203.7,5,1,2,512,Regular
12662.0,1,11,3292.11,5,5,5,555,Champions
12664.0,87,3,108.0,2,3,1,231,Regular
12665.0,325,1,15.0,1,1,1,111,Churned
12667.0,58,1,344.77,3,1,3,313,Regular
12668.0,12,4,2186.06,5,4,5,545,Champions
12669.0,151,2,1161.94,2,2,5,225,Churned
12670.0,10,5,1137.37,5,4,5,545,Champions
12672.0,330,1,133.95,1,1,1,111,Churned
12673.0,5,2,454.22,5,2,3,523,Regular
12674.0,39,4,1004.12,3,4,4,344,Regular
12676.0,25,6,481.01,4,5,3,453,Regular
12678.0,43,6,268.31,3,5,2,352,Regular
12679.0,284,1,609.86,1,1,4,114,Churned
12680.0,1,4,723.05,5,4,4,544,Champions
12681.0,15,21,7580.46,5,5,5,555,Champions
12682.0,4,30,7452.47,5,5,5,555,Champions
12683.0,4,14,3692.25,5,5,5,555,Champions
12684.0,8,6,900.39,5,5,4,554,Champions
12685.0,28,6,2072.37,4,5,5,455,Champions
12686.0,372,1,40.9,1,1,1,111,Churned
12688.0,114,1,1503.6200000000001,2,1,5,215,Churned
12689.0,26,2,927.5699999999999,4,2,4,424,Regular
12690.0,206,1,265.11,1,1,2,112,Churned
12691.0,58,4,434.6,3,4,3,343,Regular
12693.0,127,4,457.61,2,4,3,243,Regular
12694.0,70,2,270.5,3,2,2,322,Regular
12695.0,7,4,325.7,5,4,3,543,Regular
12697.0,29,3,486.3,4,3,3,433,Regular
12700.0,8,4,3368.44,5,4,5,545,Champions
12701.0,80,2,530.83,2,2,4,224,Churned
12702.0,20,1,201.0,4,1,2,412,Regular
12703.0,71,1,265.55,3,1,2,312,Regular
12704.0,7,7,1063.56,5,5,4,554,Champions
12705.0,15,8,4271.24,5,5,5,555,Champions
12707.0,292,1,391.72,1,1,3,113,Churned
12708.0,30,10,1977.2,4,5,5,455,Champions
12709.0,15,11,1478.69,5,5,5,555,Champions
12710.0,97,3,807.46,2,3,4,234,Regular
12712.0,29,13,1629.93,4,5,5,455,Champions
12713.0,1,1,451.62,5,1,3,513,Regular
12714.0,9,5,3443.19,5,4,5,545,Champions
12715.0,106,1,266.9,2,1,2,212,Churned
12716.0,4,2,822.31,5,2,4,524,Regular
12717.0,151,2,739.47,2,2,4,224,Churned
12718.0,71,1,168.43,3,1,2,312,Regular
12719.0,5,2,443.35,5,2,3,523,Regular
12720.0,3,23,3691.23,5,5,5,555,Champions
12721.0,32,6,1726.77,4,5,5,455,Champions
12722.0,85,3,620.68,2,3,4,234,Regular
12723.0,4,4,499.69,5,4,3,543,Regular
12724.0,5,4,813.61,5,4,4,544,Champions
12725.0,371,1,356.2,1,1,3,113,Churned
12726.0,28,7,695.22,4,5,4,454,Champions
12727.0,11,6,1423.1,5,5,5,555,Champions
12728.0,71,4,544.03,3,4,4,344,Regular
12729.0,114,1,357.05,2,1,3,213,Churned
12731.0,24,10,1745.13,4,5,5,455,Champions
12732.0,180,1,178.26000000000002,2,1,2,212,Churned
12733.0,234,1,276.85,1,1,2,112,Churned
12734.0,353,1,16.8,1,1,1,111,Churned
12735.0,315,2,324.25,1,2,3,123,Churned
12738.0,372,1,57.599999999999994,1,1,1,111,Churned
12739.0,99,1,377.34,2,1,3,213,Churned
12740.0,64,1,323.8,3,1,3,313,Regular
12743.0,134,2,415.09,2,2,3,223,Churned
12744.0,56,4,1543.76,3,4,5,345,Regular
12747.0,2,11,1372.09,5,5,5,555,Champions
12748.0,1,192,18695.47,5,5,5,555,Champions
12749.0,4,5,2548.9,5,4,5,545,Champions
12750.0,129,1,145.8,2,1,2,212,Churned
12752.0,81,1,79.69999999999999,2,1,1,211,Churned
12753.0,136,3,50.879999999999995,2,3,1,231,Regular
12754.0,277,2,61.62,1,2,1,121,Churned
12755.0,281,1,7.6,1,1,1,111,Churned
12757.0,16,7,2886.05,4,5,5,455,Champions
12758.0,117,2,932.85,2,2,4,224,Churned
12759.0,52,3,1190.29,3,3,5,335,Regular
12762.0,8,2,864.77,5,2,4,524,Regular
12763.0,369,1,190.48,1,1,2,112,Churned
12764.0,317,1,518.9300000000001,1,1,3,113,Churned
12766.0,4,7,4487.4400000000005,5,5,5,555,Champions
12769.0,239,1,365.94,1,1,3,113,Churned
12772.0,60,1,512.12,3,1,3,313,Regular
12775.0,17,5,552.62,4,4,4,444,Champions
12778.0,20,6,337.09,4,5,3,453,Regular
12779.0,38,8,1537.57,3,5,5,355,Regular
12781.0,64,2,73.80000000000001,3,2,1,321,Regular
12782.0,5,5,1368.31,5,4,5,545,Champions
12783.0,2,4,1107.3600000000001,5,4,4,544,Champions
12784.0,15,1,421.77,5,1,3,513,Regular
12785.0,364,1,197.0,1,1,2,112,Churned
12787.0,10,3,201.7,5,3,2,532,Regular
12790.0,192,1,195.16000000000003,1,1,2,112,Churned
12792.0,257,1,319.09,1,1,3,113,Churned
12793.0,335,2,395.48,1,2,3,123,Churned
12794.0,53,2,612.57,3,2,4,324,Regular
12795.0,19,1,144.63,4,1,2,412,Regular
12797.0,366,1,196.05,1,1,2,112,Churned
12802.0,187,1,297.02,1,1,3,113,Churned
12808.0,37,3,445.7,3,3,3,333,Regular
12809.0,178,1,303.51,2,1,3,213,Churned
12811.0,262,2,416.55,1,2,3,123,Churned
12812.0,45,1,190.04000000000002,3,1,2,312,Regular
12815.0,148,2,696.36,2,2,4,224,Churned
12816.0,96,2,361.3,2,2,3,223,Churned
12817.0,281,1,27.04,1,1,1,111,Churned
12818.0,262,1,45.60000000000001,1,1,1,111,Churned
12820.0,3,4,824.14,5,4,4,544,Champions
12821.0,214,1,60.12,1,1,1,111,Churned
12822.0,71,2,696.0600000000001,3,2,4,324,Regular
12824.0,60,1,349.42,3,1,3,313,Regular
12826.0,3,7,1325.98,5,5,5,555,Champions
12827.0,6,3,385.6,5,3,3,533,Regular
12828.0,3,6,767.35,5,5,4,554,Champions
12829.0,337,2,60.3,1,2,1,121,Churned
12831.0,262,1,82.75,1,1,1,111,Churned
12832.0,32,2,383.03,4,2,3,423,Regular
12833.0,145,1,312.85,2,1,3,213,Churned
12834.0,283,1,312.38,1,1,3,113,Churned
12836.0,59,4,1479.16,3,4,5,345,Regular
12837.0,173,1,74.65,2,1,1,211,Churned
12838.0,34,2,602.6800000000001,3,2,4,324,Regular
12839.0,3,14,4295.16,5,5,5,555,Champions
12840.0,144,4,2326.61,2,4,5,245,Regular
12841.0,5,25,2764.9900000000002,5,5,5,555,Champions
12842.0,70,2,329.77000000000004,3,2,3,323,Regular
12843.0,160,6,1118.24,2,5,4,254,Regular
12844.0,29,2,325.96000000000004,4,2,3,423,Regular
12845.0,269,2,54.79,1,2,1,121,Churned
12847.0,22,1,451.87,4,1,3,413,Regular
12849.0,31,2,369.98,4,2,3,423,Regular
12851.0,97,1,108.28,2,1,1,211,Churned
12852.0,295,1,216.15,1,1,2,112,Churned
12853.0,135,5,1145.3,2,4,5,245,Regular
12854.0,79,3,985.09,2,3,4,234,Regular
12855.0,373,1,38.1,1,1,1,111,Churned
12856.0,8,6,1876.3,5,5,5,555,Champions
12857.0,211,2,735.6,1,2,4,124,Churned
12863.0,52,1,15.0,3,1,1,311,Regular
12864.0,138,1,10.2,2,1,1,211,Churned
12865.0,26,2,1272.6,4,2,5,425,Regular
12866.0,283,1,376.72,1,1,3,113,Churned
12867.0,26,7,3093.69,4,5,5,455,Champions
12868.0,186,6,1461.99,1,5,5,155,Regular
12871.0,84,2,115.44,2,2,1,221,Churned
12872.0,327,2,465.82,1,2,3,123,Churned
12876.0,58,2,807.22,3,2,4,324,Regular
12877.0,4,11,1042.27,5,5,4,554,Champions
12878.0,236,2,601.79,1,2,4,124,Churned
12879.0,92,1,26.200000000000003,2,1,1,211,Churned
12881.0,276,1,69.0,1,1,1,111,Churned
12883.0,25,4,583.7900000000001,4,4,4,444,Champions
12884.0,88,1,139.05,2,1,2,212,Churned
12885.0,63,3,839.8199999999999,3,3,4,334,Regular
12886.0,68,2,1053.54,3,2,4,324,Regular
12888.0,255,1,25.200000000000003,1,1,1,111,Churned
12890.0,24,1,288.13,4,1,3,413,Regular
12893.0,31,1,188.14,4,1,2,412,Regular
12895.0,42,2,308.65,3,2,3,323,Regular
12897.0,205,1,29.700000000000003,1,1,1,111,Churned
12901.0,10,10,299.53,5,5,3,553,Regular
12902.0,265,1,87.78,1,1,1,111,Churned
12904.0,18,2,351.73,4,2,3,423,Regular
12906.0,12,4,431.44,5,4,3,543,Regular
12909.0,40,5,905.91,3,4,4,344,Regular
12910.0,23,6,620.32,4,5,4,454,Champions
12912.0,8,1,26.4,5,1,1,511,Regular
12913.0,16,4,253.37,4,4,2,442,Regular
12915.0,149,2,216.95,2,2,2,222,Churned
12916.0,139,4,1315.55,2,4,5,245,Regular
12919.0,8,6,683.8100000000001,5,5,4,554,Champions
12920.0,17,1,95.29,4,1,1,411,Regular
12921.0,9,37,9346.79,5,5,5,555,Champions
12922.0,161,1,332.9,2,1,3,213,Churned
12923.0,64,1,157.07,3,1,2,312,Regular
12924.0,88,4,140.65,2,4,2,242,Regular
